"weeknumber","precipitation"
798," 3.57"
799," 1.14"
800," 1.11"
801," 1.67"
802," 2.19"
803," 2.82"
804," 2.64"
805," 1.86"
806," 1.97"
807," 0.96"
808," 2.29"
809," 4.36"
810," 3.77"
811," 2.51"
812," 1.65"
813," 1.12"
814," 4.92"
815," 2.60"
816," 2.60"
817," 3.25"
818," 3.22"
819," 4.00"
820," 3.96"
821," 3.95"
822," 4.17"
823," 3.68"
824," 1.91"
825," 4.61"
826," 1.18"
827," 1.08"
828," 3.26"
829," 3.91"
830," 5.76"
831," 1.84"
832," 1.91"
833," 3.03"
834," 3.50"
835," 1.76"
836," 2.13"
837," 1.98"
838," 1.89"
839," 2.71"
840," 2.18"
841," 2.44"
842," 1.56"
843," 0.66"
844," 4.23"
845," 1.75"
846," 1.87"
847," 3.17"
848," 1.46"
849," 1.46"
850," 0.19"
851," 3.55"
852," 2.41"
853," 0.93"
854," 1.28"
855," 3.60"
856," 1.31"
857," 1.34"
858," 4.29"
859," 3.61"
860," 1.53"
861," 2.44"
862," 2.92"
863," 1.71"
864," 2.26"
865," 2.53"
866," 2.79"
867," 4.62"
868," 2.41"
869," 2.96"
870," 2.53"
871," 2.02"
872," 1.32"
873," 3.16"
874," 2.38"
875," 2.77"
876," 5.25"
877," 1.21"
878," 0.47"
879," 5.09"
880," 5.01"
881," 2.58"
882," 2.59"
883," 4.12"
884," 7.18"
885," 1.31"
886," 1.77"
887," 2.31"
888," 2.20"
889," 2.11"
890," 1.67"
891," 4.13"
892," 2.08"
893," 1.46"
894," 1.73"
895," 1.45"
896," 1.52"
897," 0.82"
898," 1.16"
899," 1.95"
900," 2.10"
901," 2.69"
902," 2.72"
903," 4.43"
904," 0.93"
905," 3.22"
906," 2.38"
907," 2.12"
908," 0.86"
909," 0.42"
910," 4.86"
911," 5.01"
912," 3.95"
913," 3.31"
914," 1.90"
915," 2.58"
916," 2.59"
917," 2.91"
918," 3.52"
919," 2.77"
920," 3.10"
921," 1.63"
922," 2.98"
923," 0.43"
924," 0.83"
925," 4.04"
926," 4.46"
927," 1.03"
928," 3.32"
929," 5.60"
930," 2.69"
931," 4.84"
932," 2.18"
933," 3.04"
934," 2.23"
935," 2.04"
936," 1.34"
937," 2.78"
938," 4.81"
939," 1.78"
940," 2.38"
941," 1.73"
942," 2.35"
943," 1.52"
944," 5.09"
945," 0.89"
946," 1.54"
947," 1.01"
948," 1.25"
949," 0.49"
950," 2.71"
951," 3.62"
952," 1.38"
953," 3.07"
954," 1.14"
955," 1.78"
956," 2.57"
957," 1.54"
958," 1.63"
959," 3.24"
960," 1.71"
961," 4.01"
962," 3.14"
963," 4.26"
964," 2.68"
965," 5.17"
966," 3.51"
967," 2.46"
968," 4.16"
969," 3.09"
970," 3.23"
971," 3.05"
972," 3.19"
973," 6.72"
974," 0.94"
975," 5.10"
976," 2.87"
977," 1.68"
978," 2.98"
979," 2.74"
980," 2.62"
981," 3.61"
982," 2.18"
983," 1.54"
984," 1.75"
985," 2.18"
986," 3.40"
987," 3.46"
988," 3.57"
989," 2.49"
990," 1.25"
991," 5.56"
992," 1.74"
993," 3.28"
994," 2.40"
995," 3.14"
996," 3.79"
997," 1.49"
998," 1.10"
999," 0.33"
1000," 0.87"
1001," 0.35"
1002," 0.40"
1003," 1.47"
1004," 2.79"
1005," 3.20"
1006," 1.34"
1007," 2.78"
1008," 2.14"
1009," 2.17"
1010," 4.15"
1011," 2.54"
1012," 3.49"
1013," 2.23"
1014," 4.15"
1015," 2.30"
1016," 2.88"
1017," 4.94"
1018," 3.32"
1019," 1.83"
1020," 2.19"
1021," 3.92"
1022," 5.36"
1023," 3.27"
1024," 2.97"
1025," 1.61"
1026," 1.78"
1027," 2.27"
1028," 1.21"
1029," 2.54"
1030," 3.42"
1031," 2.48"
1032," 2.91"
1033," 3.26"
1034," 2.89"
1035," 2.96"
1036," 1.71"
1037," 3.20"
1038," 5.19"
1039," 0.88"
1040," 2.22"
1041," 4.42"
1042," 1.92"
1043," 1.62"
1044," 1.03"
1045," 1.53"
1046," 2.32"
1047," 1.46"
1048," 3.00"
1049," 2.04"
1050," 2.00"
1051," 1.60"
1052," 1.47"
1053," 3.47"
1054," 0.61"
1055," 0.79"
1056," 2.48"
1057," 2.47"
1058," 0.74"
1059," 0.67"
1060," 4.49"
1061," 2.32"
1062," 2.21"
1063," 4.01"
